EventID,EntityID,EntityType,EventName,Description,EventTypeDescription,EventFeeDescription,EventFrequencyDescription,EventScopeDescription,EventAgeGroup,EventRegistrationRequired,EventADAAccess,EventComments,EventEmail,EventURLAddress,EventURLText,EventStartDate,EventEndDate,SponsorName,SponsorClassType,SponsorPhone,SponsorEmail,SponsorURLAddress,SponsorURLText,LastUpdatedDate
10007854,2996,Asset,Get Into Your Sanctuary - annual event,,,https://sanctuaries.noaa.gov/visit/giys.html,https://sanctuaries.noaa.gov/visit/giys.html,,false,,,,,,2019-07-02,2019-07-02,,,,,,,2019-07-02
10869,14529,Asset,Magnolia's Street Food,Thursday through Monday 9 a.m. to 4 p.m.,,,,,false,,Thursday through Monday 9 a.m. to 4 p.m.,Thursday through Monday 9 a.m. to 4 p.m.,Thursday through Monday 9 a.m. to 4 p.m.,Thursday through Monday 9 a.m. to 4 p.m.,2017-03-01,2017-10-31,,,,,,,2017-01-06
10870,14748,Asset,Bison Roundup,The Roundup consists of two separate events: The Push and The Working.,,,Park Events,,false,,The Roundup consists of two separate events: The Push and The Working.,The Roundup consists of two separate events: The Push and The Working.,The Roundup consists of two separate events: The Push and The Working.,The Roundup consists of two separate events: The Push and The Working.,0001-01-01,0001-01-01,,,http://stateparks.utah.gov/parks/antelope-island/events/,,,,2017-01-31
