EntityID,OrgID,EntityType
10047458,131,Facility
10047459,131,Facility
10047460,131,Facility
10047461,131,Facility
10047462,131,Facility
10047463,131,Facility
10047464,131,Facility
10047465,131,Facility
10047690,131,Facility
10050,126,Rec Area
10051,126,Rec Area
10052,126,Rec Area
10055,126,Rec Area
10056,126,Rec Area
10058,126,Rec Area
10060,126,Rec Area
10061,126,Rec Area
10062,126,Rec Area
10064,126,Rec Area
10065,126,Rec Area
101,129,Rec Area
1011,131,Rec Area
1012,131,Rec Area
1013,131,Rec Area
1014,131,Rec Area
1015,131,Rec Area
1016,131,Rec Area
1017,131,Rec Area
1018,131,Rec Area
1019,131,Rec Area
102,129,Rec Area
1020,129,Rec Area
1022,131,Rec Area
1023,131,Rec Area
1024,131,Rec Area
1026,131,Rec Area
1027,131,Rec Area
1029,131,Rec Area
103,129,Rec Area
1030,131,Rec Area
1031,131,Rec Area
1032,131,Rec Area
1033,131,Rec Area
1035,131,Rec Area
1036,131,Rec Area
1037,131,Rec Area
1038,131,Rec Area
1039,131,Rec Area
104,129,Rec Area
1040,131,Rec Area
1041,126,Rec Area
1042,131,Rec Area
1043,131,Rec Area
1044,131,Rec Area
1045,131,Rec Area
1047,131,Rec Area
1048,131,Rec Area
1049,131,Rec Area
105,129,Rec Area
1050,131,Rec Area
1051,131,Rec Area
1052,131,Rec Area
1053,131,Rec Area
1054,131,Rec Area
1055,131,Rec Area
1056,131,Rec Area
1057,131,Rec Area
1058,131,Rec Area
1059,131,Rec Area
106,129,Rec Area
1060,131,Rec Area
1061,131,Rec Area
1062,131,Rec Area
1063,131,Rec Area
1064,131,Rec Area
1065,131,Rec Area
1066,131,Rec Area
1067,131,Rec Area
1068,131,Rec Area
1069,131,Rec Area
107,129,Rec Area
1070,131,Rec Area
1071,131,Rec Area
1072,131,Rec Area
1073,131,Rec Area
1074,131,Rec Area
1075,131,Rec Area
1076,131,Rec Area
1077,131,Rec Area
1078,131,Rec Area
1079,131,Rec Area
108,129,Rec Area
1080,131,Rec Area
1081,131,Rec Area
1082,131,Rec Area
1083,131,Rec Area
1084,131,Rec Area
1085,131,Rec Area
1086,131,Rec Area
1087,131,Rec Area
1088,131,Rec Area
1089,131,Rec Area
109,129,Rec Area
1090,131,Rec Area
1091,131,Rec Area
1092,131,Rec Area
1093,131,Rec Area
1094,131,Rec Area
1095,131,Rec Area
1096,131,Rec Area
1097,131,Rec Area
1098,131,Rec Area
1099,131,Rec Area
11,129,Rec Area
110,129,Rec Area
1100,131,Rec Area
1101,131,Rec Area
1102,131,Rec Area
1104,131,Rec Area
1105,131,Rec Area
1106,131,Rec Area
1108,131,Rec Area
111,129,Rec Area
1110,131,Rec Area
1111,131,Rec Area
1112,131,Rec Area
1113,131,Rec Area
1114,131,Rec Area
1116,131,Rec Area
1117,131,Rec Area
1118,131,Rec Area
112,129,Rec Area
1120,131,Rec Area
1124,129,Rec Area
1125,129,Rec Area
1126,129,Rec Area
1127,129,Rec Area
1128,129,Rec Area
1129,129,Rec Area
113,129,Rec Area
1130,129,Rec Area
1131,129,Rec Area
1132,129,Rec Area
1133,129,Rec Area
1134,129,Rec Area
1135,129,Rec Area
1136,126,Rec Area
1137,129,Rec Area
1138,129,Rec Area
1139,129,Rec Area
114,127,Rec Area
1140,129,Rec Area
1141,129,Rec Area
1142,129,Rec Area
1143,129,Rec Area
1144,129,Rec Area
1145,129,Rec Area
1146,129,Rec Area
1148,129,Rec Area
1149,126,Rec Area
115,129,Rec Area
1150,126,Rec Area
1152,129,Rec Area
1153,129,Rec Area
1154,129,Rec Area
1155,129,Rec Area
1156,129,Rec Area
1158,129,Rec Area
1159,129,Rec Area
116,129,Rec Area
1160,129,Rec Area
1161,129,Rec Area
1162,126,Rec Area
1163,126,Rec Area
1164,129,Rec Area
1165,129,Rec Area
1166,129,Rec Area
1167,129,Rec Area
1168,129,Rec Area
1169,129,Rec Area
117,129,Rec Area
1170,129,Rec Area
1171,129,Rec Area
1173,126,Rec Area
1175,126,Rec Area
1176,133,Rec Area
1178,129,Rec Area
118,129,Rec Area
1181,126,Rec Area
118290,131,Campground
118440,131,Campground
1185,129,Rec Area
1186,129,Rec Area
1188,129,Rec Area
118990,131,Campground
118991,131,Campground
118992,131,Campground
118993,131,Campground
118994,131,Campground
118995,131,Campground
119,129,Rec Area
1190,129,Rec Area
119040,131,Campground
119090,131,Campground
1191,129,Rec Area
119140,131,Campground
119190,131,Campground
119240,131,Campground
119290,131,Campground
1193,129,Rec Area
1195,129,Rec Area
1196,129,Rec Area
1197,126,Rec Area
1198,126,Rec Area
12,129,Rec Area
120,129,Rec Area
1200,129,Rec Area
1201,129,Rec Area
1203,129,Rec Area
1206,129,Rec Area
1207,129,Rec Area
120840,131,Campground
120890,131,Campground
120990,131,Campground
121,129,Rec Area
121040,131,Campground
1211,129,Rec Area
1213,129,Rec Area
121390,131,Campground
1214,129,Rec Area
121440,131,Campground
1215,129,Rec Area
1216,129,Rec Area
121740,131,Campground
121840,131,Campground
121890,131,Campground
121940,131,Campground
122,131,Rec Area
1220,126,Rec Area
1221,129,Rec Area
1222,129,Rec Area
122240,131,Campground
1223,129,Rec Area
122390,131,Campground
1224,129,Rec Area
122490,131,Campground
122491,131,Campground
1225,129,Rec Area
122540,131,Campground
1226,129,Rec Area
1227,129,Rec Area
1228,129,Rec Area
122890,131,Campground
1229,129,Rec Area
122940,131,Campground
122990,131,Campground
122991,131,Campground
123,129,Rec Area
1230,129,Rec Area
123040,131,Campground
1231,129,Rec Area
1232,129,Rec Area
1233,129,Rec Area
123340,131,Campground
123390,131,Campground
1234,129,Rec Area
123440,131,Campground
1235,126,Rec Area
1237,126,Rec Area
1238,129,Rec Area
1239,129,Rec Area
124,129,Rec Area
1241,129,Rec Area
1242,129,Rec Area
1243,129,Rec Area
1245,129,Rec Area
1246,129,Rec Area
1247,129,Rec Area
1248,129,Rec Area
125,129,Rec Area
1250,129,Rec Area
1251,130,Rec Area
1252,130,Rec Area
1254,126,Rec Area
1255,127,Rec Area
1256,127,Rec Area
1257,127,Rec Area
1258,127,Rec Area
1259,127,Rec Area
126,129,Rec Area
1260,127,Rec Area
1261,127,Rec Area
1262,127,Rec Area
1263,127,Rec Area
1264,127,Rec Area
1265,130,Rec Area
1266,130,Rec Area
126690,131,Campground
1267,130,Rec Area
1268,126,Rec Area
127,129,Rec Area
12718,127,Rec Area
12719,127,Rec Area
1272,127,Rec Area
12720,128,Rec Area
12721,128,Rec Area
12722,128,Rec Area
12723,128,Rec Area
